Schurn,dist_KL_GEN,dist_KL_LR,dist_KS_GEN,dist_KS_LR,dist_W1_GEN,dist_W1_LR,ext_P95_GEN,ext_P95_HR,ext_P95_ratio_GEN_HR,ext_P99_GEN,ext_P99_HR,ext_P99_ratio_GEN_HR,ext_wetfreq_GEN,ext_wetfreq_HR,ext_wetfreq_ratio_GEN_HR,ext_wethit_GEN,prob_CRPS_mean,prob_EnergyScore_mean,prob_PIT_KS_D,prob_PMM_MAE_mean,prob_RankHist_max_abs_z,prob_SpreadSkill_r,prob_SpreadSkill_slope,prob_VariogramScore_mean,rho,sampler_id,scale_FSS_ens_mean,scale_FSS_gen_mean,scale_FSS_lr_mean,scale_ISS_ens_mean,scale_ISS_gen_mean,scale_ISS_lr_mean,sigma_scale
2.0,0.008763,0.017586,0.576904,0.139204,1.784968,0.318885,7.702468,9.965328,0.7729266914245071,14.823724,18.445606,0.803645269231057,0.31053,0.338096,0.9184669442998438,0.787567,0.744692,nan,0.082914,1.094156,230.140888,0.909021,0.973951,nan,5.0,rho=5.00_Schurn=2.00_sigscale=0.90,,0.592969,,,0.827134,,0.9
2.0,0.007077,0.018307,0.583426,0.14228,1.741861,0.325536,7.471484,9.411658,0.7938541753217128,14.688761,17.675036,0.8310456057911283,0.305648,0.329059,0.9288547038676954,0.789018,0.711068,nan,0.073086,1.047276,198.540769,0.912038,0.944232,nan,5.0,rho=5.00_Schurn=2.00_sigscale=0.95,,0.596831,,,0.833528,,0.95
2.0,0.005918,0.017128,0.579234,0.138097,1.768036,0.314379,7.616487,9.484823,0.8030183589087535,14.840235,17.777684,0.8347676221492067,0.30685,0.331699,0.925085695163386,0.790601,0.695943,nan,0.065419,1.023477,179.749602,0.911659,0.922952,nan,5.0,rho=5.00_Schurn=2.00_sigscale=1.00,,0.59858,,,0.835423,,1.0
2.0,0.006335,0.018467,0.58008,0.143175,1.813626,0.342937,7.852527,9.883178,0.7945346122471942,15.366635,18.72029,0.8208545380440154,0.314125,0.332883,0.9436498709756882,0.796978,0.723599,nan,0.061309,1.073591,180.157854,0.915946,0.948472,nan,5.0,rho=5.00_Schurn=2.00_sigscale=1.05,,0.582029,,,0.830581,,1.05
2.0,0.005855,0.018777,0.582083,0.138978,1.82512,0.341157,7.879737,9.816571,0.8026974999722409,15.377497,18.554052,0.8287945404055136,0.313964,0.332423,0.9444713512602918,0.798537,0.722364,nan,0.064872,1.068228,162.590337,0.913979,0.938726,nan,5.0,rho=5.00_Schurn=2.00_sigscale=1.10,,0.602064,,,0.832857,,1.1
0.0,0.013037,0.016882,0.577205,0.134079,1.662334,0.31058,7.175101,9.813492,0.7311465684182552,14.177475,18.505606,0.7661178455868994,0.292288,0.335983,0.8699487771702735,0.759068,0.761919,nan,0.10735,1.089863,329.296113,0.90373,0.998717,nan,7.0,rho=7.00_Schurn=0.00_sigscale=0.90,,0.593391,,,0.828453,,0.9
0.0,0.011602,0.017535,0.585466,0.138374,1.669266,0.323386,7.150008,9.720588,0.7355530344460643,14.1379,18.10882,0.7807190087482232,0.292784,0.329291,0.88913453449988,0.766716,0.751002,nan,0.100593,1.088417,312.778593,0.906938,0.994952,nan,7.0,rho=7.00_Schurn=0.00_sigscale=0.95,,0.604075,,,0.829073,,0.95
0.0,0.010148,0.018421,0.587105,0.144037,1.655387,0.328208,7.144863,9.451424,0.7559562453234561,14.0102,17.975785,0.7793929444527736,0.292824,0.326131,0.8978723273776488,0.770712,0.726266,nan,0.09068,1.050955,268.658231,0.90626,0.992592,nan,7.0,rho=7.00_Schurn=0.00_sigscale=1.00,,0.600284,,,0.832144,,1.0
0.0,0.009559,0.018622,0.583933,0.137685,1.706422,0.330515,7.371175,9.61415,0.7667006443627361,14.524328,17.795393,0.8161847282608482,0.300627,0.330769,0.9088729596788091,0.776865,0.725919,nan,0.0841,1.052162,253.967387,0.899011,0.943034,nan,7.0,rho=7.00_Schurn=0.00_sigscale=1.05,,0.596535,,,0.831895,,1.05
0.0,0.009748,0.017809,0.575879,0.134717,1.733587,0.317962,7.517395,9.812668,0.7660908327887991,14.320864,17.870862,0.8013527271376166,0.304264,0.336425,0.9044036560897674,0.777696,0.724695,nan,0.089092,1.058138,262.34914,0.907354,0.967778,nan,7.0,rho=7.00_Schurn=0.00_sigscale=1.10,,0.59654,,,0.830644,,1.1
0.5,0.012246,0.018374,0.579468,0.139958,1.683159,0.336916,7.318136,10.000577,0.7317713767915591,14.495386,18.726274,0.7740667470741911,0.295915,0.333233,0.8880122916998016,0.762757,0.76732,nan,0.102756,1.106649,307.205183,0.914866,1.017034,nan,7.0,rho=7.00_Schurn=0.50_sigscale=0.90,,0.594205,,,0.826514,,0.9
0.5,0.009705,0.018865,0.591052,0.143016,1.646844,0.331011,7.149057,9.462863,0.7554856283980862,13.918762,17.649748,0.7886096730672869,0.289712,0.324196,0.893632247159126,0.764561,0.713398,nan,0.089694,1.037205,290.863043,0.903685,0.987629,nan,7.0,rho=7.00_Schurn=0.50_sigscale=0.95,,0.585864,,,0.831484,,0.95
0.5,0.009581,0.018222,0.576425,0.140131,1.712105,0.325834,7.407919,9.698077,0.7638544218611587,14.294879,17.762251,0.8047898320995465,0.301883,0.334365,0.9028546648124056,0.775591,0.731131,nan,0.090641,1.062836,271.015599,0.903393,0.96925,nan,7.0,rho=7.00_Schurn=0.50_sigscale=1.00,,0.58971,,,0.829173,,1.0
0.5,0.008998,0.018182,0.574399,0.137305,1.776073,0.336129,7.610659,9.889737,0.7695512024232798,14.874874,18.511743,0.8035371925809471,0.311816,0.339937,0.9172758481718671,0.785,0.747372,nan,0.084597,1.097269,249.838007,0.909744,0.973847,nan,7.0,rho=7.00_Schurn=0.50_sigscale=1.05,,0.596335,,,0.829639,,1.05
